Date,Price,Open,High,Low,Vol.,Change %,Date_m
02-10-17,93.41,92.97,93.67,92.94,22400,0.57,43010.00
03-10-17,93.41,93.49,93.78,93.28,17600,0,43011.00
04-10-17,93.28,93.42,93.42,93.08,17700,-0.14,43012.00
05-10-17,93.80,93.36,93.83,93.25,18200,0.56,43013.00
06-10-17,93.64,93.75,94.10,93.60,27300,-0.17,43014.00
09-10-17,93.50,93.62,93.67,93.45,12400,-0.15,43017.00
10-10-17,93.10,93.56,93.57,92.95,26800,-0.43,43018.00
11-10-17,92.83,93.06,93.19,92.72,20700,-0.29,43019.00
12-10-17,92.90,92.75,93.06,92.64,17400,0.08,43020.00
13-10-17,92.94,92.93,93.09,92.59,21500,0.04,43021.00
16-10-17,93.16,92.97,93.21,92.93,15600,0.24,43024.00
17-10-17,93.35,93.14,93.59,93.14,16900,0.2,43025.00
18-10-17,93.23,93.34,93.66,93.22,15500,-0.13,43026.00
19-10-17,93.12,93.29,93.42,92.91,18500,-0.12,43027.00
20-10-17,93.58,93.05,93.67,93.00,27200,0.49,43028.00
23-10-17,93.81,93.64,93.90,93.56,16000,0.25,43031.00
24-10-17,93.66,93.69,93.87,93.56,18500,-0.16,43032.00
25-10-17,93.58,93.83,93.89,93.47,24500,-0.09,43033.00
26-10-17,94.51,93.50,94.61,93.36,44600,0.99,43034.00
27-10-17,94.82,94.66,95.06,94.63,36500,0.33,43035.00
30-10-17,94.45,94.77,94.83,94.33,22300,-0.39,43038.00
31-10-17,94.43,94.36,94.60,94.35,18900,-0.02,43039.00
01-11-17,94.71,94.42,94.75,94.40,16600,0.3,43040.00
02-11-17,94.59,94.67,94.69,94.31,17000,-0.13,43041.00
03-11-17,94.86,94.61,94.92,94.11,24400,0.29,43042.00
06-11-17,94.66,94.83,95.00,94.61,17700,-0.21,43045.00
07-11-17,94.80,94.63,95.07,94.60,23700,0.15,43046.00
08-11-17,94.77,94.77,94.86,94.68,11400,-0.03,43047.00
