Date,Price,Open,High,Low,Vol.,Change %,Date_m
08-Dec-16,19614.81,19559.94,19664.97,19527.83,324500000,0.33,42712
09-Dec-16,19756.85,19631.35,19757.74,19623.19,334400000,0.72,42713
12-Dec-16,19796.43,19770.20,19824.59,19747.74,333600000,0.2,42716
13-Dec-16,19911.21,19852.21,19953.75,19846.45,388400000,0.58,42717
14-Dec-16,19792.53,19876.13,19966.43,19748.67,408400000,-0.6,42718
15-Dec-16,19852.24,19811.50,19951.29,19811.50,357300000,0.3,42719
16-Dec-16,19843.41,19909.01,19923.17,19821.00,573400000,-0.04,42720
19-Dec-16,19883.06,19836.66,19917.78,19832.95,302300000,0.2,42723
20-Dec-16,19974.62,19920.59,19987.63,19920.42,284000000,0.46,42724
21-Dec-16,19941.96,19968.97,19986.56,19941.96,256600000,-0.16,42725
22-Dec-16,19918.88,19922.68,19933.83,19882.19,258200000,-0.12,42726
23-Dec-16,19933.81,19908.61,19934.15,19899.06,158200000,0.07,42727
27-Dec-16,19945.04,19943.46,19980.24,19939.80,158500000,0.06,42731
28-Dec-16,19833.68,19964.31,19981.11,19827.31,188300000,-0.56,42732
29-Dec-16,19819.78,19835.46,19878.44,19788.94,172000000,-0.07,42733
30-Dec-16,19762.60,19833.17,19852.55,19718.67,271900000,-0.29,42734
03-Jan-17,19881.76,19872.86,19938.53,19775.93,339100000,0.6,42738
04-Jan-17,19942.16,19890.94,19956.14,19878.83,280000000,0.3,42739
05-Jan-17,19899.29,19924.56,19948.60,19811.12,269900000,-0.21,42740
06-Jan-17,19963.80,19906.96,19999.63,19834.08,277700000,0.32,42741
09-Jan-17,19887.38,19931.41,19943.78,19887.38,287500000,-0.38,42744
10-Jan-17,19855.53,19876.35,19957.12,19836.03,299400000,-0.16,42745
11-Jan-17,19954.28,19887.38,19973.42,19833.16,336100000,0.5,42746
12-Jan-17,19891.00,19926.21,19929.29,19770.47,306200000,-0.32,42747
13-Jan-17,19885.73,19912.54,19952.03,19849.38,263700000,-0.03,42748
17-Jan-17,19826.77,19848.82,19882.99,19775.35,341900000,-0.3,42752
18-Jan-17,19804.72,19822.73,19828.20,19739.00,279700000,-0.11,42753
19-Jan-17,19732.40,19813.55,19824.14,19677.94,301700000,-0.37,42754
20-Jan-17,19827.25,19795.06,19843.94,19759.14,435200000,0.48,42755
