Date,Price,Open,High,Low,Vol.,Change %,Date_m
01-Dec-17,154.38,152.97,155.28,152.88,40900,1.01,43070
04-Dec-17,154.12,153.62,154.31,153.19,13500,-0.17,43073
05-Dec-17,154.81,154.19,154.88,153.78,7540,0.45,43074
06-Dec-17,155.16,154.75,155.66,154.69,17100,0.23,43075
07-Dec-17,153.97,154.97,155.53,154,2130,-0.77,43076
08-Dec-17,154,154.22,154.34,153.69,5120,0.02,43077
11-Dec-17,154.16,154.12,154.66,154.03,2600,0.1,43080
12-Dec-17,153.78,154.16,154.16,153.31,1460,-0.25,43081
13-Dec-17,154.81,153.94,154.84,153.59,2280,0.67,43082
14-Dec-17,155.22,154.62,155.22,154.25,1990,0.26,43083
15-Dec-17,155.38,155.12,155.5,154.81,1340,0.1,43084
18-Dec-17,154.28,155.28,155.28,154.22,3100,-0.71,43087
19-Dec-17,152.53,154.31,154.31,153,3440,-1.13,43088
20-Dec-17,150.56,151.66,151.88,150.44,299840,-1.29,43089
21-Dec-17,151.19,150.53,151.25,150.47,193750,0.42,43090
22-Dec-17,151,151,151.22,150.88,104290,-0.13,43091
25-Dec-17,150.78,150.88,150.94,150.78,0,-0.15,43094
26-Dec-17,151.62,150.91,151.78,150.75,82700,0.56,43095
27-Dec-17,152.94,151.38,153.12,151.38,236790,0.87,43096
28-Dec-17,152.72,152.91,152.91,152.41,158650,-0.14,43097
29-Dec-17,153,152.72,153.09,152.31,177690,0.18,43098
01-Jan-18,152.88,152.84,152.88,152.72,0,-0.08,43101
02-Jan-18,151.75,152.84,152.91,151.38,248790,-0.74,43102
03-Jan-18,152.31,151.69,152.41,151.53,199820,0.37,43103
04-Jan-18,152.31,152.22,152.41,151.59,228640,0,43104
05-Jan-18,151.81,152.31,152.66,151.66,251060,-0.33,43105
08-Jan-18,151.72,151.84,152.22,151.47,146590,-0.06,43108
09-Jan-18,150.22,151.78,151.81,150.03,368550,-0.99,43109
10-Jan-18,150.06,150.03,150.19,149.09,430010,-0.11,43110
11-Jan-18,150.44,149.91,150.62,149.53,373880,0.25,43111
12-Jan-18,150.5,150.16,150.59,149.53,290390,0.04,43112
14-Jan-18,150.5,150.53,150.56,150.41,0,0,43114
15-Jan-18,150.44,150.53,150.66,150.31,0,-0.04,43115
16-Jan-18,150.81,150.5,151.03,150.31,270910,0.25,43116
17-Jan-18,150.31,150.88,151.19,150.09,306000,-0.33,43117
18-Jan-18,149.44,150.12,150.25,149.09,377800,-0.58,43118
19-Jan-18,149,149.16,149.38,148.53,359000,-0.29,43119
22-Jan-18,148.69,148.91,149.28,148.38,235600,-0.21,43122
23-Jan-18,149.22,148.88,149.69,148.78,285700,0.36,43123
24-Jan-18,148.47,149.38,149.5,148.22,363600,-0.5,43124
25-Jan-18,149.41,148.66,149.5,148.34,391800,0.63,43125
26-Jan-18,148.75,149.38,149.47,148.47,286100,-0.44,43126
29-Jan-18,148.12,148.75,148.91,147.56,317600,-0.42,43129
30-Jan-18,147.38,148.06,148.34,147.12,391400,-0.5,43130
31-Jan-18,147.81,147.44,148.19,147.09,518300,0.29,43131
01-Feb-18,146.56,148.03,148.06,146.09,468300,-0.85,43132
02-Feb-18,144.78,146.19,146.38,144.75,561800,-1.21,43133
05-Feb-18,145.69,144.94,147.5,144.09,734400,0.63,43136
06-Feb-18,146.03,146.91,147.72,145.47,678300,0.23,43137
07-Feb-18,144.62,145.56,146.38,144.34,483800,-0.97,43138
08-Feb-18,144.09,144.66,144.97,143.62,700900,-0.37,43139
09-Feb-18,144.16,144.16,144.78,143.59,616900,0.05,43140
12-Feb-18,144.41,143.72,145.19,143.12,417200,0.17,43143
13-Feb-18,144.56,144.25,144.94,144.19,264000,0.1,43144
14-Feb-18,143.38,144.78,145.28,143.22,442700,-0.82,43145
15-Feb-18,144,143.56,144.34,143.12,355100,0.43,43146
16-Feb-18,144.22,143.62,144.84,143.56,304600,0.15,43147
18-Feb-18,144.34,144.22,144.47,144.16,0,0.08,43149
19-Feb-18,144.06,144.34,144.34,143.97,0,-0.19,43150
20-Feb-18,143.88,144.19,144.47,143.44,326000,-0.12,43151
21-Feb-18,142.69,143.91,144.19,142.44,373900,-0.83,43152
