Date,Price,Open,High,Low,Vol.,Change %,Date_m
04-10-16,3.85,3.83,3.90,3.81,2.28K,0.52,42647
05-10-16,3.88,3.85,3.91,3.79,1.12K,0.78,42648
06-10-16,3.82,3.88,3.88,3.78,2.21K,-1.55,42649
07-10-16,3.82,3.82,3.87,3.80,0.21K,0,42650
08-10-16,3.86,3.82,3.88,3.80,0.45K,1.05,42651
09-10-16,3.80,3.86,3.86,3.80,0.06K,-1.55,42652
10-10-16,3.79,3.84,3.84,3.79,0.51K,-0.26,42653
11-10-16,3.83,3.79,3.84,3.75,0.63K,1.06,42654
12-10-16,3.80,3.83,3.83,3.79,0.67K,-0.78,42655
13-10-16,3.83,3.80,3.93,3.80,2.33K,0.79,42656
14-10-16,3.82,3.83,3.92,3.82,0.04K,-0.26,42657
15-10-16,3.92,3.82,3.94,3.82,0.09K,2.62,42658
16-10-16,3.88,3.92,3.94,3.86,0.02K,-1.02,42659
17-10-16,3.82,3.88,3.94,3.82,0.25K,-1.55,42660
18-10-16,3.91,3.82,3.91,3.80,0.71K,2.36,42661
19-10-16,3.79,3.91,3.91,3.79,1.15K,-3.07,42662
20-10-16,3.80,3.79,3.81,3.78,0.26K,0.26,42663
21-10-16,3.79,3.80,3.81,3.75,0.55K,-0.26,42664
22-10-16,3.84,3.79,3.88,3.75,1.06K,1.32,42665
23-10-16,3.88,3.84,3.89,3.70,1.26K,1.04,42666
24-10-16,3.87,3.88,3.89,3.82,0.45K,-0.26,42667
25-10-16,3.85,3.87,3.88,3.80,1.24K,-0.52,42668
26-10-16,3.89,3.85,3.96,3.76,2.44K,1.04,42669
27-10-16,3.99,3.89,4.14,3.89,1.25K,2.57,42670
28-10-16,3.90,3.99,4.02,3.88,0.74K,-2.26,42671
29-10-16,4.06,3.90,4.24,3.90,1.30K,4.1,42672
30-10-16,3.93,4.06,4.25,3.93,0.77K,-3.2,42673
31-10-16,3.98,3.93,4.07,3.92,0.27K,1.27,42674
01-11-16,4.02,3.98,4.50,3.92,2.69K,1.01,42675
02-11-16,4.07,4.02,4.35,3.99,1.36K,1.24,42676
03-11-16,3.90,4.07,4.34,3.80,5.24K,-4.18,42677
04-11-16,3.88,3.90,3.98,3.77,2.53K,-0.51,42678
05-11-16,3.87,3.88,3.94,3.86,0.27K,-0.26,42679
06-11-16,3.91,3.87,3.93,3.85,0.06K,1.03,42680
07-11-16,3.88,3.91,3.92,3.83,0.53K,-0.77,42681
08-11-16,3.91,3.88,3.91,3.84,0.47K,0.77,42682
09-11-16,3.98,3.91,3.99,3.77,2.07K,1.79,42683
10-11-16,3.80,3.98,3.98,3.79,0.30K,-4.52,42684
11-11-16,3.80,3.80,3.86,3.79,0.16K,0,42685
12-11-16,3.75,3.80,3.85,3.72,2.27K,-1.32,42686
13-11-16,3.86,3.75,3.94,3.65,3.35K,2.93,42687
14-11-16,3.87,3.86,3.91,3.81,0.17K,0.26,42688
15-11-16,3.92,3.87,3.96,3.84,1.02K,1.29,42689
16-11-16,3.92,3.92,4.06,3.86,2.46K,0,42690
17-11-16,3.90,3.92,3.96,3.81,2.42K,-0.51,42691
18-11-16,3.87,3.90,3.95,3.85,0.39K,-0.77,42692
