Date,Price,Open,High,Low,Vol.,Change %,Date_m
25-Jan-17,0.00647,0.00645,0.00656,0.00642,563.28K,0.29,42760
26-Jan-17,0.00632,0.00647,0.00649,0.0062,2.30M,-2.23,42761
27-Jan-17,0.00636,0.00632,0.00649,0.00618,464.78K,0.57,42762
28-Jan-17,0.00631,0.00636,0.0065,0.00625,370.46K,-0.79,42763
29-Jan-17,0.00635,0.00631,0.00645,0.00624,545.78K,0.67,42764
30-Jan-17,0.00634,0.00635,0.00639,0.00625,437.54K,-0.19,42765
31-Jan-17,0.00626,0.00634,0.0066,0.00624,1.60M,-1.28,42766
01-Feb-17,0.00648,0.00626,0.0067,0.00611,3.91M,3.47,42767
02-Feb-17,0.0064,0.00648,0.00659,0.0064,857.66K,-1.19,42768
03-Feb-17,0.00639,0.0064,0.00643,0.00625,1.01M,-0.13,42769
04-Feb-17,0.00644,0.00639,0.00647,0.00625,675.99K,0.81,42770
05-Feb-17,0.00634,0.00644,0.00646,0.00625,1.11M,-1.58,42771
06-Feb-17,0.00635,0.00634,0.00639,0.00627,425.02K,0.17,42772
07-Feb-17,0.00635,0.00635,0.00646,0.00625,1.03M,-0.11,42773
08-Feb-17,0.00636,0.00635,0.00646,0.0062,2.45M,0.22,42774
09-Feb-17,0.00624,0.00636,0.0064,0.006,4.54M,-1.9,42775
10-Feb-17,0.0063,0.00624,0.00635,0.00613,1.93M,0.98,42776
11-Feb-17,0.00631,0.0063,0.00637,0.00626,567.88K,0.24,42777
12-Feb-17,0.00623,0.00631,0.00635,0.00623,393.77K,-1.31,42778
13-Feb-17,0.00624,0.00623,0.00636,0.00615,1.03M,0.21,42779
14-Feb-17,0.00631,0.00624,0.00639,0.00621,1.91M,1.04,42780
15-Feb-17,0.00615,0.00631,0.00631,0.0061,2.69M,-2.5,42781
16-Feb-17,0.0059,0.00615,0.00633,0.0059,6.71M,-4.1,42782
17-Feb-17,0.006,0.0059,0.00615,0.0057,4.13M,1.69,42783
18-Feb-17,0.00554,0.006,0.006,0.00533,7.09M,-7.72,42784
19-Feb-17,0.00592,0.00554,0.00598,0.00551,2.53M,6.92,42785
20-Feb-17,0.0059,0.00592,0.00598,0.00568,771.75K,-0.29,42786
21-Feb-17,0.0059,0.0059,0.00598,0.00573,1.06M,0,42787
22-Feb-17,0.00583,0.0059,0.00595,0.00582,820.53K,-1.19,42788
23-Feb-17,0.00585,0.00583,0.00586,0.00575,600.44K,0.33,42789
24-Feb-17,0.00585,0.00585,0.00585,0.00585,0,0,42790
25-Feb-17,0.0057,0.0057,0.0058,0.00563,344.55K,-2.55,42791
26-Feb-17,0.00565,0.0057,0.00574,0.00561,247.96K,-0.91,42792
27-Feb-17,0.00555,0.00565,0.00579,0.00555,1.03M,-1.74,42793
28-Feb-17,0.00553,0.00555,0.0057,0.0053,3.07M,-0.36,42794
01-Mar-17,0.00537,0.00553,0.0056,0.0053,4.44M,-2.86,42795
02-Mar-17,0.00608,0.00537,0.00645,0.00537,15.14M,13.16,42796
03-Mar-17,0.0065,0.00608,0.0065,0.0059,7.22M,6.93,42797
04-Mar-17,0.00625,0.0065,0.00671,0.00619,4.52M,-3.83,42798
05-Mar-17,0.00609,0.00625,0.00629,0.00598,2.01M,-2.61,42799
06-Mar-17,0.00605,0.00609,0.00624,0.006,1.30M,-0.57,42800
07-Mar-17,0.00671,0.00605,0.00688,0.00585,6.91M,10.82,42801
08-Mar-17,0.00643,0.00671,0.00694,0.0062,18.73M,-4.17,42802
09-Mar-17,0.00646,0.00643,0.00661,0.0063,8.42M,0.45,42803
10-Mar-17,0.0062,0.00646,0.0066,0.00581,21.53M,-3.98,42804
11-Mar-17,0.00623,0.0062,0.0064,0.00595,6.54M,0.48,42805
12-Mar-17,0.00626,0.00623,0.00632,0.006,6.11M,0.45,42806
13-Mar-17,0.00642,0.00626,0.00642,0.00593,13.75M,2.57,42807
14-Mar-17,0.00641,0.00642,0.00642,0.00621,3.34M,-0.14,42808
