Date,Price,Open,High,Low,Vol.,Change %,Date_m
27-Sep-16,1325.90,1328.00,1328.70,1327.90,0.05K,-1.03,42640
28-Sep-16,1326.95,1330.10,1330.65,1321.00,0,0.08,42641
29-Sep-16,1321.70,1321.20,1325.00,1314.70,6.11K,-0.4,42642
30-Sep-16,1313.30,1320.60,1327.70,1312.90,0.87K,-0.64,42643
03-Oct-16,1309.00,1313.50,1316.80,1308.20,0.30K,-0.33,42646
04-Oct-16,1266.30,1307.60,1310.20,1266.30,1.89K,-3.26,42647
05-Oct-16,1265.20,1272.10,1274.00,1261.30,0.25K,-0.09,42648
06-Oct-16,1249.80,1265.30,1265.30,1249.90,0.11K,-1.22,42649
07-Oct-16,1248.90,1253.90,1263.60,1249.50,0.17K,-0.07,42650
10-Oct-16,1257.50,1258.80,1260.40,1256.90,0.03K,0.69,42653
11-Oct-16,1253.00,1258.90,1258.90,1253.80,0.03K,-0.36,42654
12-Oct-16,1251.10,1251.70,1254.00,1251.70,0.13K,-0.15,42655
13-Oct-16,1255.00,1258.70,1259.00,1255.20,0.32K,0.31,42656
14-Oct-16,1253.10,1253.90,1253.90,1250.60,0.31K,-0.15,42657
17-Oct-16,1254.40,1249.90,1255.00,1249.90,0.04K,0.1,42660
18-Oct-16,1260.80,1260.90,1261.70,1260.90,0.01K,0.51,42661
19-Oct-16,1267.90,1262.90,1271.50,1262.90,0.22K,0.56,42662
20-Oct-16,1265.60,1270.00,1270.50,1265.50,0.42K,-0.18,42663
21-Oct-16,1267.05,1265.55,1268.60,1261.50,0,0.11,42664
24-Oct-16,1262.00,1269.20,1269.20,1261.80,0.04K,-0.4,42667
25-Oct-16,1271.90,1264.10,1274.10,1264.10,0.06K,0.78,42668
26-Oct-16,1264.80,1274.00,1274.00,1270.00,0.28K,-0.56,42669
27-Oct-16,1267.90,1269.40,1269.40,1269.40,0.07K,0.25,42670
28-Oct-16,1275.50,1270.30,1281.50,1262.00,0.56K,0.6,42671
31-Oct-16,1271.50,1276.60,1276.60,1272.20,0.06K,-0.31,42674
01-Nov-16,1286.40,1279.30,1290.70,1279.00,0.05K,1.17,42675
02-Nov-16,1306.80,1288.30,1307.00,1288.30,0.03K,1.59,42676
03-Nov-16,1302.10,1296.40,1303.10,1287.30,0.07K,-0.36,42677
