Date_m,Date,Price,Open,High,Low,Vol.,Change %
42758,23-Jan-17,5552.94,5546.64,5564.14,5522.69,389.91M,-0.04
42759,24-Jan-17,5600.96,5568.27,5606.53,5558.49,409.12M,0.86
42760,25-Jan-17,5656.34,5635.86,5658.59,5634.33,435.79M,0.99
42761,26-Jan-17,5655.18,5666.28,5669.61,5647.65,426.44M,-0.02
42762,27-Jan-17,5660.78,5664.88,5667.45,5643.9,386.97M,0.1
42765,30-Jan-17,5613.71,5635.86,5636.09,5578.76,417.27M,-0.83
42766,31-Jan-17,5614.79,5592.87,5615.15,5576.09,506.36M,0.02
42767,01-Feb-17,5642.65,5654.51,5662.11,5621.03,499.98M,0.5
42768,02-Feb-17,5636.2,5627.15,5656.01,5616.4,471.57M,-0.11
42769,03-Feb-17,5666.77,5650.73,5666.84,5647.58,411.17M,0.54
42772,06-Feb-17,5663.55,5656.95,5668.2,5650.26,397.57M,-0.06
42773,07-Feb-17,5674.22,5674.86,5689.6,5664.82,440.96M,0.19
42774,08-Feb-17,5682.45,5662.95,5686.96,5649.39,444.98M,0.15
42775,09-Feb-17,5715.18,5688.02,5722.71,5685.15,439.63M,0.58
42776,10-Feb-17,5734.13,5726.18,5743.43,5717.42,421.00M,0.33
42779,13-Feb-17,5763.96,5753.19,5770.99,5751.92,404.16M,0.52
42780,14-Feb-17,5782.57,5756.51,5783.09,5748.74,431.56M,0.32
42781,15-Feb-17,5819.44,5777.9,5821.95,5776.7,450.50M,0.64
42782,16-Feb-17,5814.9,5823.01,5835.15,5796.71,441.52M,-0.08
42783,17-Feb-17,5838.58,5807.31,5838.58,5800.8,500.75M,0.41
42787,21-Feb-17,5865.95,5850.2,5867.89,5847.5,453.57M,0.47
42788,22-Feb-17,5860.63,5857.56,5864.41,5848.28,422.84M,-0.09
42789,23-Feb-17,5835.51,5866.82,5866.96,5809.55,444.62M,-0.43
42790,24-Feb-17,5845.31,5802.33,5845.31,5800.55,419.25M,0.17
42793,27-Feb-17,5861.9,5835.04,5861.9,5827,447.06M,0.28
42794,28-Feb-17,5825.44,5852.79,5855.06,5817.22,620.83M,-0.62
42795,01-Mar-17,5904.03,5874.86,5911.79,5865.79,522.79M,1.35
42796,02-Mar-17,5861.22,5897.01,5897.01,5856.3,454.31M,-0.73
42797,03-Mar-17,5870.75,5854.27,5870.75,5841.47,424.84M,0.16
42800,06-Mar-17,5849.18,5846.42,5857.74,5827.46,412.85M,-0.37
42801,07-Mar-17,5833.93,5836.12,5859.77,5826.32,418.89M,-0.26
42802,08-Mar-17,5837.55,5838.44,5860.63,5832.63,422.94M,0.06
42803,09-Mar-17,5838.81,5834.67,5852.54,5812.08,423.01M,0.02
42804,10-Mar-17,5861.73,5867.16,5872.6,5835.44,476.86M,0.39
42807,13-Mar-17,5875.78,5863.48,5877.43,5860.83,405.74M,0.24
42808,14-Mar-17,5856.82,5860.07,5860.5,5831.88,390.46M,-0.32
42809,15-Mar-17,5900.05,5869.97,5911.2,5858.16,468.32M,0.74
42810,16-Mar-17,5900.76,5907.86,5911.48,5887.24,412.39M,0.01
42811,17-Mar-17,5901,5898.58,5912.61,5890.42,1.35B,0
42814,20-Mar-17,5901.53,5898.81,5915.12,5888.12,407.11M,0.01
42815,21-Mar-17,5793.82,5923.43,5928.06,5790.73,528.08M,-1.83
