Date,Price,Open,High,Low,Vol.,Change %,Date_m
07-Feb-18,106.64,106.67,106.75,106.60,692530,-0.07,43138
08-Feb-18,106.64,106.66,106.70,106.61,646220,0,43139
09-Feb-18,106.77,106.68,106.88,106.64,905780,0.12,43140
12-Feb-18,106.69,106.72,106.72,106.64,524580,-0.07,43143
13-Feb-18,106.66,106.68,106.71,106.64,432220,-0.03,43144
14-Feb-18,106.53,106.66,106.70,106.51,711590,-0.12,43145
15-Feb-18,106.52,106.54,106.55,106.45,489510,-0.01,43146
16-Feb-18,106.54,106.51,106.55,106.49,427430,0.02,43147
18-Feb-18,106.53,106.54,106.55,106.53,0,-0.01,43149
19-Feb-18,106.50,106.52,106.53,106.48,0,-0.03,43150
20-Feb-18,106.49,106.53,106.55,106.44,744390,-0.01,43151
21-Feb-18,106.48,106.49,106.52,106.45,884100,-0.01,43152
